t,plan_drift,num_shifts,num_switches,num_tasks_scheduled,num_frozen,solve_time_ms,is_feasible,forced_replan
0,0.0,0,0,4,0,0,True,False
6,0.0,0,0,4,0,0,True,False
12,0.0,0,0,4,1,0,True,False
18,0.0,0,0,4,1,0,True,False
24,0.0,0,0,4,1,0,True,False
30,0.0,0,0,5,0,0,True,False
36,0.0,0,0,5,1,0,True,False
42,0.0,0,0,5,1,0,True,False
48,0.0,0,0,5,1,0,True,False
54,0.0,0,0,4,0,0,True,False
60,0.0,0,0,4,0,0,True,False
66,0.0,0,0,5,0,0,True,False
72,0.0,0,0,5,0,0,True,False
78,0.0,0,0,6,0,0,True,False
84,0.0,0,0,6,0,0,True,False
90,0.0,0,0,6,0,0,True,False
96,0.0,0,0,6,0,0,True,False
102,0.0,0,0,7,0,0,True,False
108,0.0,0,0,8,0,0,True,False
114,0.0,0,0,8,0,0,True,False
120,0.0,0,0,8,0,0,True,False
126,0.0,0,0,8,0,0,True,False
132,0.0,0,0,8,1,0,True,False
138,0.0,0,0,8,2,0,True,False
144,0.0,0,0,8,2,0,True,False
150,0.0,0,0,7,1,0,False,True
156,0.0,0,0,6,0,0,True,False
162,0.0,0,0,6,0,0,True,False
168,0.0,0,0,6,2,0,True,False
174,0.0,0,0,6,2,0,True,False
180,0.0,0,0,6,2,0,True,False
186,0.0,0,0,5,1,0,True,False
192,0.0,0,0,4,0,0,True,False
198,0.0,0,0,4,0,0,True,False
204,0.0,0,0,4,1,0,True,False
210,0.0,0,0,4,1,0,True,False
216,0.0,0,0,4,1,0,True,False
222,0.0,0,0,4,2,0,True,False
228,0.0,0,0,3,1,0,True,False
234,0.0,0,0,3,1,0,True,False
240,0.0,0,0,3,1,0,True,False
246,0.0,0,0,2,0,0,True,False
252,0.0,0,0,2,1,0,True,False
258,0.0,0,0,2,2,0,True,False
264,0.0,0,0,2,2,0,True,False
270,0.0,0,0,0,0,0,True,False
276,0.0,0,0,0,0,0,True,False
282,0.0,0,0,0,0,0,True,False
288,0.0,0,0,0,0,0,True,False
294,0.0,0,0,0,0,0,True,False
300,0.0,0,0,0,0,0,True,False
306,0.0,0,0,0,0,0,True,False
312,0.0,0,0,0,0,0,True,False
318,0.0,0,0,0,0,0,True,False
324,0.0,0,0,0,0,0,True,False
330,0.0,0,0,0,0,0,True,False
336,0.0,0,0,0,0,0,True,False
342,0.0,0,0,0,0,0,True,False
348,0.0,0,0,0,0,0,True,False
354,0.0,0,0,0,0,0,True,False
360,0.0,0,0,0,0,0,True,False
366,0.0,0,0,0,0,0,True,False
372,0.0,0,0,0,0,0,True,False
378,0.0,0,0,0,0,0,True,False
384,0.0,0,0,0,0,0,True,False
390,0.0,0,0,0,0,0,True,False
396,0.0,0,0,0,0,0,True,False
402,0.0,0,0,0,0,0,True,False
408,0.0,0,0,0,0,0,True,False
414,0.0,0,0,0,0,0,True,False
420,0.0,0,0,0,0,0,True,False
426,0.0,0,0,0,0,0,True,False
