t,plan_drift,num_shifts,num_switches,num_tasks_scheduled,num_frozen,solve_time_ms,is_feasible,forced_replan
0,0.0,0,0,15,0,19,True,False
6,0.0,0,0,16,0,14,True,False
12,0.0,0,0,16,0,15,True,False
18,0.0,0,0,16,0,14,True,False
24,0.0,0,0,16,1,14,True,False
30,0.0,0,0,17,1,14,True,False
36,0.0,0,0,17,2,14,True,False
42,0.0,0,0,17,2,14,True,False
48,0.0,0,0,17,2,15,True,False
54,0.0,0,0,16,1,15,True,False
60,0.0,0,0,15,1,14,True,False
66,0.0,0,0,15,1,16,True,False
72,0.0,0,0,16,2,14,True,False
78,0.0,0,0,15,2,14,True,False
84,0.0223,1,1,15,2,15,False,True
90,0.0,0,0,15,3,16,True,False
96,0.0,0,0,15,2,15,True,False
102,0.0,0,0,14,3,16,True,False
108,0.0,0,0,14,4,14,True,False
114,0.0,0,0,13,3,16,True,False
120,0.025,0,1,12,3,15,True,False
126,0.0,0,0,11,3,15,True,False
132,0.0,0,0,10,2,16,True,False
138,0.0,0,0,9,2,15,True,False
144,0.0,0,0,9,3,15,True,False
150,0.0,0,0,8,2,16,True,False
156,0.0429,0,1,7,2,15,True,False
162,0.0007,1,0,7,3,16,True,False
168,0.0,0,0,5,1,14,True,False
174,0.0,0,0,5,1,16,True,False
180,0.0,0,0,4,0,15,True,False
186,0.0,0,0,4,1,16,True,False
192,0.0,0,0,4,2,15,True,False
198,0.0,0,0,3,1,15,True,False
204,0.0,0,0,2,0,15,True,False
210,0.0,0,0,2,0,15,True,False
216,0.0,0,0,2,1,15,True,False
222,0.0,0,0,2,1,15,True,False
228,0.0,0,0,1,0,16,True,False
234,0.0,0,0,1,0,16,True,False
240,0.0,0,0,1,1,15,True,False
246,0.3,0,1,1,1,15,True,False
252,0.0,0,0,1,1,15,True,False
258,0.0,0,0,0,0,0,True,False
