t,plan_drift,num_shifts,num_switches,num_tasks_scheduled,num_frozen,solve_time_ms,is_feasible,forced_replan
0,0.0,0,0,15,0,9,True,False
6,0.0,0,0,16,0,20,True,False
12,0.2257,10,11,16,0,22,True,False
18,0.0,0,0,16,0,14,True,False
24,0.2257,10,11,16,0,18,True,False
30,0.0,0,0,17,0,28,True,False
36,0.0,0,0,17,1,16,True,False
42,0.0003,1,0,17,0,30,True,False
48,0.0,0,0,17,1,24,True,False
54,0.0009,1,0,16,1,17,True,False
60,0.0,0,0,15,0,10,True,False
66,0.0,0,0,15,0,21,True,False
72,0.02,0,1,16,1,15,True,False
78,0.1994,9,9,15,0,24,True,False
84,0.0036,3,0,15,2,21,False,True
90,0.172,8,8,15,2,22,True,False
96,0.2313,7,11,16,3,24,True,False
102,0.0,0,0,14,1,14,True,False
108,0.2405,6,10,13,1,16,True,False
114,0.0917,8,3,13,2,18,True,False
120,0.0,0,0,12,1,19,True,False
126,0.0,0,0,12,2,21,True,False
132,0.0,0,0,11,3,22,True,False
138,0.0,0,0,10,3,27,True,False
144,0.0,0,0,9,2,16,True,False
150,0.0,0,0,8,3,10,True,False
156,0.075,0,2,8,4,15,False,True
162,0.0,0,0,6,1,7,True,False
168,0.0,0,0,6,2,13,True,False
174,0.0,0,0,4,0,6,True,False
180,0.0,0,0,4,0,4,True,False
186,0.0,0,0,4,0,8,True,False
192,0.0,0,0,4,1,14,True,False
198,0.1,0,1,3,1,5,True,False
204,0.3,0,2,2,0,14,True,False
210,0.0,0,0,2,0,17,True,False
216,0.0,0,0,2,0,9,True,False
222,0.0,0,0,2,0,14,True,False
228,0.3,0,1,1,0,7,True,False
234,0.0,0,0,1,0,14,True,False
240,0.0,0,0,1,0,7,True,False
246,0.0,0,0,1,1,4,True,False
252,0.0,0,0,1,1,14,True,False
258,0.0,0,0,0,0,0,True,False
