seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s,llm_calls,llm_time_total_ms,llm_latency_total_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_cache_hit_rate,llm_fallback_count,solver_time_total_ms,wall_time_total_ms
0,light,greedy,train,15,16,1.0,0.0,0,0.0008996212121212122,0,2,72,2,0.0,0.006020307540893555,0,0,0,0,0,0,0.0,0,0,6
1,light,greedy,train,11,12,1.0,0.0,0,0.0,0,0,72,0,0.0,0.0030105113983154297,0,0,0,0,0,0,0.0,0,0,3
1,light,mockllm,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.422222222222222,0.6915888786315918,45,0,0,0,0,0,0.0,0,649,692
1,light,nofreeze,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,15.488888888888889,0.7122137546539307,0,0,0,0,0,0,0.0,0,697,712
1,light,fixed_default,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,15.488888888888889,0.7132174968719482,0,0,0,0,0,0,0.0,0,697,713
1,light,fixed_tuned,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,15.644444444444444,0.7162277698516846,0,0,0,0,0,0,0.0,0,704,716
2,light,greedy,train,9,10,1.0,0.0,0,0.0,0,0,72,1,0.0,0.003009796142578125,0,0,0,0,0,0,0.0,0,0,4
0,light,fixed_default,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,15.680851063829786,0.7493436336517334,0,0,0,0,0,0,0.0,0,737,749
0,light,fixed_tuned,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,15.76595744680851,0.7503476142883301,0,0,0,0,0,0,0.0,0,741,750
0,light,nofreeze,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,15.659574468085106,0.7493436336517334,0,0,0,0,0,0,0.0,0,736,750
0,light,mockllm,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,15.085106382978724,0.7493431568145752,47,0,0,0,0,0,0.0,0,709,749
3,light,greedy,train,12,13,1.0,0.0,0,0.0019350405092592592,1,2,72,3,0.0,0.003011465072631836,0,0,0,0,0,0,0.0,0,0,4
3,light,fixed_default,train,13,13,1.0,0.0,0,0.002330246913580247,3,1,45,3,15.044444444444444,0.687382698059082,0,0,0,0,0,0,0.0,0,677,688
