seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s,llm_calls,llm_time_total_ms,llm_latency_total_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_cache_hit_rate,llm_fallback_count,solver_time_total_ms,wall_time_total_ms
60,light,llm_real,test,14,14,1.0,0.0,0,0.0,0,0,42,0,12.571428571428571,0.7020754814147949,42,89,89,0,0,21581,1.0,0,528,739
61,light,llm_real,test,17,17,1.0,0.0,0,0.0007246376811594203,0,1,46,1,11.673913043478262,6.356091499328613,46,5766,5766,0,0,23639,0.9565217391304348,0,537,6393
62,light,llm_real,test,19,19,1.0,0.0,0,0.0,0,0,48,0,10.854166666666666,0.7359418869018555,48,152,152,0,0,24668,1.0,0,521,771
63,light,llm_real,test,17,17,1.0,0.0,0,1.2659143518518516e-05,1,0,48,1,11.458333333333334,0.7469010353088379,48,138,138,0,0,24665,1.0,0,550,784
64,light,llm_real,test,17,17,1.0,0.0,0,0.0,0,0,49,0,11.89795918367347,0.7899847030639648,49,152,152,0,0,25182,1.0,0,583,825
65,light,llm_real,test,16,16,1.0,0.0,0,0.0008928571428571428,0,1,48,1,11.208333333333334,0.7526359558105469,48,165,165,0,0,24641,1.0,0,538,789
66,light,llm_real,test,11,11,1.0,0.0,0,0.0,0,0,46,0,12.217391304347826,0.7203097343444824,46,114,114,0,0,23635,1.0,0,562,758
67,light,llm_real,test,11,11,1.0,0.0,0,0.001993355481727575,0,2,43,1,12.186046511627907,0.6897602081298828,43,118,118,0,0,22090,1.0,0,524,726
68,light,llm_real,test,17,17,1.0,0.0,0,0.0,0,0,47,0,11.23404255319149,0.730276346206665,47,152,152,0,0,24155,1.0,0,528,766
69,light,llm_real,test,20,20,1.0,0.0,0,0.0008149092970521541,1,1,49,1,11.877551020408163,0.8015837669372559,49,163,163,0,0,25137,1.0,0,582,836
70,light,llm_real,test,11,11,1.0,0.0,0,0.0069767441860465115,0,1,43,1,12.30232558139535,0.6740314960479736,43,98,98,0,0,22094,1.0,0,529,710
71,light,llm_real,test,15,15,1.0,0.0,0,0.0,0,0,46,0,12.478260869565217,8.369473934173584,46,7733,7733,0,0,23624,0.9347826086956522,0,574,8405
