seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s
0,light,fixed_tuned,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.808510638297872,0.7190630435943604
0,light,fixed_default,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.48936170212766,0.7004823684692383
0,light,nofreeze,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.914893617021276,0.719369649887085
0,light,greedy,train,15,16,1.0,0.0,0,0.0008996212121212122,0,2,72,2,0.0,0.0050220489501953125
0,light,mockllm,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.617021276595745,0.7175498008728027
1,light,fixed_tuned,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.666666666666666,0.6849484443664551
1,light,fixed_default,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.533333333333333,0.6840512752532959
1,light,nofreeze,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.644444444444444,0.6821713447570801
1,light,greedy,train,11,12,1.0,0.0,0,0.0,0,0,72,0,0.0,0.004014492034912109
1,light,mockllm,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.555555555555555,0.6858325004577637
2,light,fixed_tuned,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.83673469387755,0.7520191669464111
2,light,fixed_default,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.36734693877551,0.7313907146453857
2,light,nofreeze,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.612244897959183,0.7475860118865967
2,light,greedy,train,9,10,1.0,0.0,0,0.0,0,0,72,1,0.0,0.0040132999420166016
2,light,mockllm,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.346938775510203,0.7449140548706055
3,medium,fixed_tuned,train,13,13,1.0,0.0,0,0.0019907407407407404,4,1,45,2,14.666666666666666,0.6869814395904541
3,medium,fixed_default,train,13,13,1.0,0.0,0,0.0017746913580246912,3,1,45,2,14.511111111111111,0.6833019256591797
3,medium,nofreeze,train,13,13,1.0,0.0,0,0.0017746913580246912,3,1,45,2,14.511111111111111,0.6853165626525879
3,medium,greedy,train,12,13,1.0,0.0,0,0.0005461516203703703,1,1,72,2,0.0,0.003996133804321289
3,medium,mockllm,train,13,13,1.0,0.0,0,0.0017746913580246912,3,1,45,2,14.2,0.6754047870635986
4,medium,fixed_tuned,train,13,13,1.0,0.0,0,0.0010661986714975843,5,1,46,3,14.391304347826088,0.7005035877227783
4,medium,fixed_default,train,13,13,1.0,0.0,0,0.0018021588164251208,3,2,46,3,14.456521739130435,0.7035458087921143
4,medium,nofreeze,train,13,13,1.0,0.0,0,0.0018021588164251208,3,2,46,3,14.717391304347826,0.704709529876709
4,medium,greedy,train,11,13,1.0,0.0,0,0.002438994984567901,1,3,72,3,0.0,0.007024526596069336
4,medium,mockllm,train,13,13,1.0,0.0,0,0.0018021588164251208,3,2,46,3,14.326086956521738,0.6952061653137207
5,medium,fixed_tuned,train,19,19,1.0,0.0,0,2.7006172839506168e-05,2,0,45,0,14.555555555555555,0.6879949569702148
5,medium,fixed_default,train,19,19,1.0,0.0,0,2.7006172839506168e-05,2,0,45,0,14.622222222222222,0.6895534992218018
5,medium,nofreeze,train,19,19,1.0,0.0,0,2.7006172839506168e-05,2,0,45,0,14.511111111111111,0.6881833076477051
5,medium,greedy,train,18,19,1.0,0.0,0,0.0005952380952380953,0,1,72,0,0.0,0.005017280578613281
5,medium,mockllm,train,19,19,1.0,0.0,0,2.7006172839506168e-05,2,0,45,0,13.933333333333334,0.6627821922302246
6,heavy,fixed_tuned,train,19,19,0.9473684210526315,0.47368421052631576,9,0.0013319434816575337,14,0,51,7,14.117647058823529,0.7649261951446533
6,heavy,fixed_default,train,19,19,1.0,0.0,0,0.0031813213150018705,9,3,48,7,14.479166666666666,0.7345254421234131
6,heavy,nofreeze,train,19,19,1.0,0.0,0,0.0031813213150018705,9,3,48,7,14.5625,0.7384843826293945
6,heavy,greedy,train,18,19,1.0,0.0,0,0.002274873055399676,4,5,72,10,0.0,0.006020784378051758
6,heavy,mockllm,train,19,19,1.0,0.0,0,0.0031813213150018705,9,3,48,7,14.395833333333334,0.7309672832489014
7,heavy,fixed_tuned,train,15,15,1.0,0.0,0,0.0007124819624819623,8,0,49,1,14.53061224489796,0.73702073097229
7,heavy,fixed_default,train,15,15,1.0,0.0,0,0.0011582663368377654,4,2,49,2,14.591836734693878,0.7499756813049316
7,heavy,nofreeze,train,15,15,1.0,0.0,0,0.0011312100597814883,1,2,49,1,14.714285714285714,0.7542352676391602
