seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s
0,light,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
0,light,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
0,light,nofreeze,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.51063829787234,0.702289342880249
0,light,greedy,train,15,16,1.0,0.0,0,0.0008996212121212122,0,2,72,2,0.0,0.0060291290283203125
0,light,mockllm,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.659574468085106,0.7138736248016357
1,medium,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
1,medium,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
1,medium,nofreeze,train,12,12,1.0,0.0,0,5.4012345679012335e-05,2,0,45,0,14.71111111111111,0.6859853267669678
1,medium,greedy,train,11,12,1.0,0.0,0,0.0,0,0,72,1,0.0,0.0030095577239990234
1,medium,mockllm,train,12,12,1.0,0.0,0,5.4012345679012335e-05,2,0,45,0,14.555555555555555,0.6805520057678223
2,heavy,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
2,heavy,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
2,heavy,nofreeze,train,10,10,1.0,0.0,0,7.688492063492062e-05,3,0,49,2,14.755102040816327,0.7465255260467529
2,heavy,greedy,train,9,10,1.0,0.0,0,0.0,0,0,72,3,0.0,0.0040130615234375
2,heavy,mockllm,train,10,10,1.0,0.0,0,5.704365079365079e-05,2,0,49,2,14.612244897959183,0.7438604831695557
3,light,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
3,light,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
3,light,nofreeze,test,13,13,1.0,0.0,0,0.00028806584362139914,4,0,45,3,14.333333333333334,0.6675529479980469
3,light,greedy,test,12,13,1.0,0.0,0,0.0019350405092592592,1,2,72,3,0.0,0.004013776779174805
3,light,mockllm,test,13,13,1.0,0.0,0,0.002330246913580247,3,1,45,3,14.733333333333333,0.6826391220092773
4,medium,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
4,medium,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
4,medium,nofreeze,test,13,13,1.0,0.0,0,0.0018021588164251208,3,2,46,3,14.5,0.6881110668182373
4,medium,greedy,test,11,13,1.0,0.0,0,0.002438994984567901,1,3,72,3,0.0,0.005016803741455078
4,medium,mockllm,test,13,13,1.0,0.0,0,0.0018021588164251208,3,2,46,3,14.021739130434783,0.6791667938232422
5,heavy,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
5,heavy,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
5,heavy,nofreeze,test,19,19,1.0,0.0,0,0.001147119341563786,1,1,45,1,14.511111111111111,0.6743824481964111
5,heavy,greedy,test,18,19,1.0,0.0,0,0.0,0,0,72,1,0.0,0.0050165653228759766
5,heavy,mockllm,test,19,19,1.0,0.0,0,0.001147119341563786,1,1,45,1,14.222222222222221,0.6644275188446045
