dataset,policy_name,n,mean_delay,CI_delay,mean_drift,CI_drift,combined_mean,combined_ci95,on_time_mean,mean_replans,mean_switch,mean_shifts,mean_solver_time_ms,mean_wall_time_ms,fallback_rate,cache_hit_rate,mean_llm_time_ms,mean_llm_total_tokens,total_llm_calls,total_fallbacks
test,fixed_default,9,0.0,0.0,0.00122,0.00098,0.006,0.005,1.0,46.44,1.22,2.44,15.3,717.9,0.0,0.0,0.0,0.0,0,0
test,fixed_tuned,9,0.0,0.0,0.00129,0.00076,0.006,0.004,1.0,46.44,0.44,11.33,15.1,711.2,0.0,0.0,0.0,0.0,0,0
test,greedy,9,0.0,0.0,0.00084,0.00101,0.004,0.005,1.0,69.0,1.0,0.89,0.0,4.2,0.0,0.0,0.0,0.0,0,0
test,mockllm,9,0.0,0.0,0.00147,0.00106,0.007,0.005,1.0,46.44,1.33,2.33,14.7,712.4,0.0,0.0,0.0,0.0,418,0
test,nofreeze,9,0.0,0.0,0.00122,0.00098,0.006,0.005,1.0,46.44,1.22,2.44,15.2,716.8,0.0,0.0,0.0,0.0,0,0
train,fixed_default,9,0.0,0.0,0.0017,0.00153,0.009,0.008,1.0,46.67,1.33,3.22,15.3,720.9,0.0,0.0,0.0,0.0,0,0
train,fixed_tuned,9,0.0,0.0,0.00163,0.00065,0.008,0.003,1.0,46.67,0.44,13.0,15.3,718.4,0.0,0.0,0.0,0.0,0,0
train,greedy,9,0.0,0.0,0.00101,0.00061,0.005,0.003,1.0,72.0,1.78,0.78,0.0,4.7,0.0,0.0,0.0,0.0,0,0
train,mockllm,9,0.0,0.0,0.00151,0.00113,0.008,0.006,1.0,46.56,1.44,2.67,14.7,713.9,0.0,0.0,0.0,0.0,419,0
train,nofreeze,9,0.0,0.0,0.00145,0.00112,0.007,0.006,1.0,46.67,1.33,2.78,15.3,720.7,0.0,0.0,0.0,0.0,0,0
