seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s,llm_calls,llm_time_total_ms,llm_latency_total_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_cache_hit_rate,llm_fallback_count,solver_time_total_ms,wall_time_total_ms
0,light,fixed_tuned,train,16,16,1.0,0.0,0,0.0012425600568331066,17,0,47,1,15.27659574468085,0.7249870300292969,0,0,0,0,0,0,0.0,0,718,724
0,light,fixed_default,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,15.382978723404255,0.7321324348449707,0,0,0,0,0,0,0.0,0,723,732
0,light,nofreeze,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,15.53191489361702,0.7344949245452881,0,0,0,0,0,0,0.0,0,730,735
0,light,greedy,train,15,16,1.0,0.0,0,0.0008996212121212122,0,2,72,2,0.0,0.004013776779174805,0,0,0,0,0,0,0.0,0,0,4
0,light,mockllm,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.617021276595745,0.7200360298156738,47,0,0,0,0,0,0.0,0,687,721
1,light,fixed_tuned,train,12,12,1.0,0.0,0,0.0005401234567901235,4,0,45,1,14.977777777777778,0.6826226711273193,0,0,0,0,0,0,0.0,0,674,682
1,light,fixed_default,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,15.466666666666667,0.6990394592285156,0,0,0,0,0,0,0.0,0,696,700
1,light,nofreeze,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,15.044444444444444,0.6814413070678711,0,0,0,0,0,0,0.0,0,677,682
1,light,greedy,train,11,12,1.0,0.0,0,0.0,0,0,72,0,0.0,0.003030538558959961,0,0,0,0,0,0,0.0,0,0,4
1,light,mockllm,train,12,12,1.0,0.0,0,0.0,0,0,45,0,14.844444444444445,0.6946742534637451,45,0,0,0,0,0,0.0,0,668,694
2,light,fixed_tuned,train,10,10,1.0,0.0,0,7.440476190476188e-05,2,0,49,1,15.428571428571429,0.759035587310791,0,0,0,0,0,0,0.0,0,756,759
2,light,fixed_default,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,15.285714285714286,0.7555680274963379,0,0,0,0,0,0,0.0,0,749,755
2,light,nofreeze,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,15.346938775510203,0.7575111389160156,0,0,0,0,0,0,0.0,0,752,757
2,light,greedy,train,9,10,1.0,0.0,0,0.0,0,0,72,1,0.0,0.004014015197753906,0,0,0,0,0,0,0.0,0,0,4
2,light,mockllm,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.89795918367347,0.7589421272277832,49,0,0,0,0,0,0.0,0,730,758
3,medium,fixed_tuned,train,13,13,1.0,0.0,0,0.0021593792866941015,8,1,45,2,15.2,0.6911838054656982,0,0,0,0,0,0,0.0,0,684,691
3,medium,fixed_default,train,13,13,1.0,0.0,0,0.0017746913580246912,3,1,45,2,15.377777777777778,0.6981680393218994,0,0,0,0,0,0,0.0,0,692,698
