seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s
0,light,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
0,light,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
0,light,nofreeze,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.957446808510639,0.7261230945587158
0,light,greedy,train,15,16,1.0,0.0,0,0.0008996212121212122,0,2,72,2,0.0,0.0040132999420166016
0,light,mockllm,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.53191489361702,0.7155191898345947
1,light,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
1,light,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
1,light,nofreeze,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.755555555555556,0.6878905296325684
1,light,greedy,train,11,12,1.0,0.0,0,0.0,0,0,72,0,0.0,0.003010272979736328
1,light,mockllm,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.4,0.6768996715545654
2,light,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
2,light,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
2,light,nofreeze,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.795918367346939,0.749060869216919
2,light,greedy,train,9,10,1.0,0.0,0,0.0,0,0,72,1,0.0,0.0029981136322021484
2,light,mockllm,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.428571428571429,0.7409420013427734
3,medium,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
3,medium,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
3,medium,nofreeze,train,13,13,1.0,0.0,0,0.0017746913580246912,3,1,45,2,14.466666666666667,0.6719217300415039
3,medium,greedy,train,12,13,1.0,0.0,0,0.0005461516203703703,1,1,72,2,0.0,0.0030074119567871094
3,medium,mockllm,train,13,13,1.0,0.0,0,0.0017746913580246912,3,1,45,2,14.755555555555556,0.6825764179229736
4,medium,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
4,medium,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
4,medium,nofreeze,train,13,13,1.0,0.0,0,0.0018021588164251208,3,2,46,3,14.804347826086957,0.7004976272583008
4,medium,greedy,train,11,13,1.0,0.0,0,0.002438994984567901,1,3,72,3,0.0,0.004010915756225586
4,medium,mockllm,train,13,13,1.0,0.0,0,0.0018021588164251208,3,2,46,3,14.456521739130435,0.6971797943115234
5,medium,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
5,medium,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
5,medium,nofreeze,train,19,19,1.0,0.0,0,2.7006172839506168e-05,2,0,45,0,14.466666666666667,0.6756730079650879
5,medium,greedy,train,18,19,1.0,0.0,0,0.0005952380952380953,0,1,72,0,0.0,0.005016803741455078
5,medium,mockllm,train,19,19,1.0,0.0,0,3.086419753086419e-05,2,0,45,0,14.28888888888889,0.6671767234802246
6,heavy,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
6,heavy,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
6,heavy,nofreeze,train,19,19,1.0,0.0,0,0.0031813213150018705,9,3,48,7,14.708333333333334,0.7303140163421631
6,heavy,greedy,train,18,19,1.0,0.0,0,0.002274873055399676,4,5,72,10,0.0,0.005016803741455078
6,heavy,mockllm,train,19,19,1.0,0.0,0,0.002537908015338571,8,2,48,7,14.666666666666666,0.7296857833862305
7,heavy,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
7,heavy,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
7,heavy,nofreeze,train,15,15,1.0,0.0,0,0.001154776936026936,1,2,48,1,14.854166666666666,0.7346487045288086
7,heavy,greedy,train,13,15,1.0,0.0,0,0.0005208333333333333,0,1,72,1,0.0,0.005014896392822266
7,heavy,mockllm,train,15,15,1.0,0.0,0,0.0011312100597814883,1,2,49,1,14.244897959183673,0.7253055572509766
8,heavy,fixed_tuned,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
8,heavy,fixed_default,train,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
8,heavy,nofreeze,train,13,13,1.0,0.0,0,0.004985622268230964,4,4,46,2,14.695652173913043,0.6997528076171875
8,heavy,greedy,train,12,13,1.0,0.0,0,0.0017862654320987656,1,3,72,5,0.0,0.0040130615234375
8,heavy,mockllm,train,13,13,1.0,0.0,0,0.004985622268230964,4,4,46,2,14.630434782608695,0.6967554092407227
9,light,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
9,light,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
9,light,nofreeze,test,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,14.27659574468085,0.6979928016662598
9,light,greedy,test,16,17,1.0,0.0,0,0.0,0,0,72,0,0.0,0.004010677337646484
9,light,mockllm,test,17,17,1.0,0.0,0,0.0010638297872340426,0,1,47,1,14.574468085106384,0.7140564918518066
10,light,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
10,light,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
10,light,nofreeze,test,19,19,1.0,0.0,0,0.0005148663393344245,1,1,47,1,14.659574468085106,0.7169721126556396
10,light,greedy,test,18,19,1.0,0.0,0,0.0003628027065527065,1,1,72,1,0.0,0.005011081695556641
10,light,mockllm,test,19,19,1.0,0.0,0,4.7735951991271136e-05,2,0,47,1,14.446808510638299,0.710798978805542
11,light,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
11,light,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
11,light,nofreeze,test,17,17,1.0,0.0,0,0.0,0,0,45,0,14.822222222222223,0.6905114650726318
11,light,greedy,test,15,17,1.0,0.0,0,0.0004697145061728395,1,1,72,0,0.0,0.0040149688720703125
11,light,mockllm,test,17,17,1.0,0.0,0,0.0,0,0,45,0,14.022222222222222,0.6537623405456543
12,medium,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
12,medium,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
12,medium,nofreeze,test,17,17,1.0,0.0,0,0.003309220679012346,3,3,48,3,14.916666666666666,0.7395894527435303
12,medium,greedy,test,16,17,1.0,0.0,0,0.0007575757575757576,0,2,72,4,0.0,0.005017280578613281
12,medium,mockllm,test,17,17,1.0,0.0,0,0.003309220679012346,3,3,48,3,14.458333333333334,0.7331037521362305
13,medium,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
13,medium,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
13,medium,nofreeze,test,14,14,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.717391304347826,0.7028007507324219
13,medium,greedy,test,13,14,1.0,0.0,0,0.0009634344993141289,1,2,72,2,0.0,0.005014896392822266
13,medium,mockllm,test,14,14,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.5,0.7015459537506104
14,medium,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
14,medium,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
14,medium,nofreeze,test,11,11,1.0,0.0,0,0.00014763374485596704,4,0,45,3,14.377777777777778,0.6709697246551514
14,medium,greedy,test,10,11,1.0,0.0,0,1.3503086419753084e-05,1,0,72,2,0.0,0.004014730453491211
14,medium,mockllm,test,11,11,1.0,0.0,0,0.00014763374485596704,4,0,45,3,14.333333333333334,0.664658784866333
15,heavy,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
15,heavy,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
15,heavy,nofreeze,test,13,13,1.0,0.0,0,0.0010411522633744855,5,1,45,4,14.71111111111111,0.6871354579925537
15,heavy,greedy,test,13,13,1.0,0.0,0,0.004845336076817559,1,3,45,5,0.0,0.003010988235473633
15,heavy,mockllm,test,13,13,1.0,0.0,0,0.006738683127572016,3,4,45,4,14.133333333333333,0.6649730205535889
16,heavy,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
16,heavy,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
16,heavy,nofreeze,test,15,15,1.0,0.0,0,5.626286008230452e-05,3,0,48,3,14.458333333333334,0.7181665897369385
16,heavy,greedy,test,14,15,1.0,0.0,0,0.0,0,0,72,3,0.0,0.005004167556762695
16,heavy,mockllm,test,15,15,1.0,0.0,0,5.626286008230452e-05,3,0,48,3,14.583333333333334,0.7293040752410889
17,heavy,fixed_tuned,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
17,heavy,fixed_default,test,0,0,0.0,inf,0,0.0,0,0,0,0,0.0,0.0
17,heavy,nofreeze,test,18,18,1.0,0.0,0,0.0032264199551433593,6,4,47,3,14.680851063829786,0.7214951515197754
17,heavy,greedy,test,17,18,1.0,0.0,0,0.00015378515089163237,3,0,72,3,0.0,0.006020069122314453
17,heavy,mockllm,test,18,18,1.0,0.0,0,0.0032264199551433593,6,4,47,3,14.51063829787234,0.7143597602844238
