dataset,policy_name,num_episodes,avg_delay_mean,avg_delay_ci95,episode_drift_mean,episode_drift_ci95,combined_score_mean,combined_score_ci95,on_time_rate_mean,total_shifts_mean,total_switches_mean,avg_solve_time_ms_mean
test,fixed_default,9,inf,nan,0.0,0.0,inf,nan,0.0,0.0,0.0,0.0
test,fixed_tuned,9,inf,nan,0.0,0.0,inf,nan,0.0,0.0,0.0,0.0
test,greedy,9,0.0,0.0,0.00084,0.00101,0.004,0.005,1.0,0.89,1.0,0.0
test,mockllm,9,0.0,0.0,0.0017,0.0015,0.009,0.008,1.0,2.33,1.44,14.4
test,nofreeze,9,0.0,0.0,0.00101,0.00087,0.005,0.004,1.0,2.56,1.11,14.6
train,fixed_default,9,inf,nan,0.0,0.0,inf,nan,0.0,0.0,0.0,0.0
train,fixed_tuned,9,inf,nan,0.0,0.0,inf,nan,0.0,0.0,0.0,0.0
train,greedy,9,0.0,0.0,0.00101,0.00061,0.005,0.003,1.0,0.78,1.78,0.0
train,mockllm,9,0.0,0.0,0.00138,0.00108,0.007,0.005,1.0,2.67,1.22,14.5
train,nofreeze,9,0.0,0.0,0.00146,0.00112,0.007,0.006,1.0,2.78,1.33,14.7
