seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s
0,light,greedy,train,15,16,1.0,0.0,0,0.0008996212121212122,0,2,72,2,0.0,0.005016326904296875
1,light,greedy,train,11,12,1.0,0.0,0,0.0,0,0,72,0,0.0,0.0030112266540527344
1,light,nofreeze,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.577777777777778,0.6843574047088623
1,light,fixed_tuned,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.577777777777778,0.686363697052002
1,light,fixed_default,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.555555555555555,0.6853599548339844
1,light,mockllm,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.6,0.6953952312469482
0,light,fixed_default,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.297872340425531,0.7034227848052979
2,light,greedy,train,9,10,1.0,0.0,0,0.0,0,0,72,1,0.0,0.004013776779174805
0,light,nofreeze,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.574468085106384,0.7194783687591553
0,light,fixed_tuned,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.659574468085106,0.7194783687591553
0,light,mockllm,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,14.48936170212766,0.7184751033782959
3,light,greedy,train,12,13,1.0,0.0,0,0.0019350405092592592,1,2,72,3,0.0,0.0030107498168945312
3,light,fixed_tuned,train,13,13,1.0,0.0,0,0.00028806584362139914,4,0,45,3,14.688888888888888,0.6822700500488281
2,light,fixed_default,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.244897959183673,0.7173500061035156
3,light,nofreeze,train,13,13,1.0,0.0,0,0.002330246913580247,3,1,45,3,14.733333333333333,0.6852400302886963
3,light,fixed_default,train,13,13,1.0,0.0,0,0.002330246913580247,3,1,45,3,14.71111111111111,0.6852400302886963
3,light,mockllm,train,13,13,1.0,0.0,0,0.002330246913580247,3,1,45,3,14.622222222222222,0.6822292804718018
4,light,greedy,train,11,13,1.0,0.0,0,0.0,0,0,72,1,0.0,0.004011392593383789
2,light,nofreeze,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.816326530612244,0.7485325336456299
2,light,fixed_tuned,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.795918367346939,0.7485325336456299
2,light,mockllm,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.612244897959183,0.7488138675689697
5,light,greedy,train,18,19,1.0,0.0,0,0.0005952380952380953,0,1,72,0,0.0,0.005017995834350586
5,light,fixed_tuned,train,19,19,1.0,0.0,0,3.086419753086419e-05,2,0,45,0,14.533333333333333,0.6800949573516846
4,light,fixed_tuned,train,13,13,1.0,0.0,0,0.0010177277432712217,2,1,46,2,14.73913043478261,0.7011237144470215
5,light,nofreeze,train,19,19,1.0,0.0,0,2.7006172839506168e-05,2,0,45,0,14.266666666666667,0.6685981750488281
